,nombre,fecha_limite,enlaces
0,PROYECTO DE DISPOSICIONES PARA MODIFICAR LA CIRCULAR 8/2023,Cerrado el 15/11/2024,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={C9C2FA13-0C87-533B-D9F7-53573DD692EE}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={20947DA2-8A85-134D-E0B3-9BE72AA4C2C1}'}"
1,"PROYECTO DE DISPOSICIONES EN MATERIA DE OPERACIONES DE CAJA, CORRESPONSALÍA Y MANEJO DE PIEZAS PRESUNTAMENTE FALSAS O ALTERADAS",Cerrado el 15/11/2024,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={0FE5DD6A-8C80-AE39-D692-05D30F1B67F7}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={8893C3E1-E5EC-C257-04C8-347F673501F9}'}"
2,"SEGUNDO PROYECTO DE DISPOSICIONES PARA MODIFICAR LA CIRCULAR 3/2012, EN RELACIÓN CON EL USO DE PRESTACIONES LABORALES COMO RESPALDO DE SERVICIOS FINANCIEROS CONTRATADOS POR TRABAJADORES",Cerrado el 18/10/2024,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={DFE1A499-2527-5D7A-D247-FDD0006E56D2}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={00A21839-97BB-3C8D-8707-D2992BC36B79}'}"
3,"PROYECTO DE DISPOSICIONES PARA MODIFICAR LAS ?REGLAS PARA LA REALIZACIÓN DE OPERACIONES DERIVADAS?, EMITIDAS MEDIANTE LA CIRCULAR 4/2012, EN MATERIA DE FONDOS DE INVERSIÓN DE COBERTURA",Cerrado el 04/10/2024,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={9CCB6820-DC99-51F3-2F74-EEF1A456ABF2}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={A78257A7-C2A2-52E3-234C-6B35C168255C}'}"
4,"PROYECTO DE DISPOSICIONES PARA MODIFICAR LAS REGLAS DE PRÉSTAMO DE VALORES, CON OBJETO DE ESTABLECER REGLAS APLICABLES A LOS FONDOS DE INVERSIÓN DE COBERTURA",Cerrado el 02/10/2024,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={AE037935-B3FE-C1E5-11E7-D1D4F57FEE83}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={F172A5CA-582D-7661-FDEA-2828F224F5F4}'}"
5,"PROYECTO DE DISPOSICIONES PARA MODIFICAR LAS REGLAS DE REPORTOS, CON OBJETO DE ESTABLECER REGLAS APLICABLES A LOS FONDOS DE INVERSIÓN DE COBERTURA",Cerrado el 30/08/2024,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={99C2BFE9-EE49-E33F-0A4D-027D5554334E}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={3044F07C-C835-87A1-BB7A-EDCA04DAF1F1}'}"
6,"PROYECTO DE DISPOSICIONES PARA MODIFICAR LA CIRCULAR 4/2012, EN MATERIA DE INTERCAMBIO TRANSFRONTERIZO DE INFORMACIÓN DE OPERACIONES DERIVADAS",Cerrado el 04/06/2024,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={CEFF2819-2935-6D5D-5628-ABF053536029}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={2E9A98CA-C4E4-F3B6-4072-6A9A5B8DEBDB}'}"
7,"PROYECTO DE DISPOSICIONES PARA MODIFICAR LA CIRCULAR 9/2023 EN MATERIA DE OPERACIONES DE CAJA, SOBRE LA ACTUALIZACIÓN DE LOS FACTORES QUE SE UTILIZAN PARA CALCULAR LAS COMISIONES QUE PAGAN LOS USUARIOS POR EL SERVICIO DE CORRESPONSALÍA DE CAJA",Cerrado el 05/04/2024,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={8124BF50-52AF-A8F8-6712-ABAAF8B10AA6}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={BF8AF0B4-81E2-13D3-5468-9A61E4FC3806}'}"
8,"PROYECTO DE DISPOSICIONES PARA MODIFICAR LA CIRCULAR 7/2023 DEL BANCO DE MÉXICO, CON OBJETO DE ESTABLECER EXCEPCIONES A LAS RESTRICCIONES PARA EL USO DE LA TIIE DE 28 DÍAS COMO SUBYACENTE EN SWAPS QUE SE CELEBREN DURANTE 2025",Cerrado el 04/04/2024,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={D5DE92BB-498F-200B-094B-ABA0650FDC62}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={FEF16FC6-682E-1D46-4E22-8932000C641D}', 'Reporte de comentarios': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={C66AA386-E54F-8EAD-2F75-7CA6F56966FD}'}"
9,"PROYECTO DE DISPOSICIONES PARA MODIFICAR LA CIRCULAR 3/2012, EN RELACIÓN CON EL USO DE REMUNERACIONES Y PRESTACIONES LABORALES COMO RESPALDO DE SERVICIOS FINANCIEROS CONTRATADOS POR TRABAJADORES",Cerrado el 19/01/2024,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={DA83C6E7-F755-C6BF-ACC9-F2BA39AC8BD0}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={1767512E-1D04-D324-4889-0A7AE4EE42FB}'}"
